code,lastname,firstname,sei,namae,email_address,company_mobie,gender,date_of_birth,date_of_joining_company,main_category,sub_category,minor_category,classification,position,monthly_basic_salary,qualifications
SK800921,富田,大地,tomita,daichi,tomita_daichi1@tekuwan.co.jp,030-5096-7499,男性,1969/9/30,1995/10/1,取締役会,取締役会,取締役,役員,代表取締役,"4,000,000",
SK802833,小西,悠,konishi,yuu,konishi_yuu2@tekuwan.co.jp,030-2355-9181,男性,1962/2/4,1985/4/1,取締役会,取締役会,取締役,役員,取締役,"2,500,000",
SK811167,大塚,健太郎,ootsuka,kentarou,ootsuka_kentarou3@tekuwan.co.jp,030-0408-6130,男性,1966/10/30,1990/9/1,取締役会,取締役会,取締役,役員,取締役,"2,200,000",
SK800909,横山,優奈,yokoyama,yuuna,yokoyama_yuuna4@tekuwan.co.jp,030-9662-5100,女性,1970/4/1,2010/1/1,取締役会,取締役会,取締役,役員,取締役,"2,000,000",
SK833376,松田,雄介,matsuda,yuusuke,matsuda_yuusuke6@tekuwan.co.jp,030-0914-0110,男性,1960/11/9,2010/6/30,取締役会,取締役会,取締役,社外役員,社外取締役,"1,500,000",
SK800012,上野,りさ,ueno,risa,ueno_risa1@tekuwan.co.jp,030-4875-0794,女性,1964/3/11,2022/6/28,取締役会,取締役会,取締役,社外役員,社外取締役,"1,500,000",
SK819233,松尾,美穂,matsuo,miho,matsuo_miho2@tekuwan.co.jp,030-6780-1448,女性,1973/8/22,2022/6/28,取締役会,取締役会,取締役,社外役員,社外取締役,"1,500,000",
SK846729,野村,直樹,nomura,naoki,nomura_naoki3@tekuwan.co.jp,030-4242-0479,男性,1961/5/31,2015/6/28,監査役会,監査役会,監査役,役員,常勤監査役,"1,200,000",
SK800187,横山,さくら,yokoyama,sakura,yokoyama_sakura4@tekuwan.co.jp,030-3698-1139,女性,1948/7/30,2011/6/29,監査役会,監査役会,監査役,社外役員,社外監査役,"800,000",
SK801904,平田,陽介,hirata,yousuke,hirata_yousuke5@tekuwan.co.jp,030-9111-7537,男性,1958/1/2,2018/6/28,監査役会,監査役会,監査役,社外役員,社外監査役,"800,000",
